geo,TIME_PERIOD,OBS_VALUE
Albania,2008,
Albania,2009,
Albania,2010,
Albania,2011,
Albania,2012,
Albania,2013,
Albania,2014,
Albania,2015,0.7
Albania,2016,0.63
Albania,2017,0.49
Albania,2018,0.8
Albania,2019,0.59
Albania,2020,
Albania,2021,
Albania,2022,
Albania,2023,
Austria,2008,
Austria,2009,
Austria,2010,
Austria,2011,
Austria,2012,
Austria,2013,
Austria,2014,
Austria,2015,0.32
Austria,2016,0.52
Austria,2017,0.44
Austria,2018,0.43
Austria,2019,0.35
Austria,2020,0.6
Austria,2021,0.57
Austria,2022,0.68
Austria,2023,0.63
Bulgaria,2022,0.365
Belgium,2022,0.215
Denmark,2022,0.22
Estonia,2022,0.45
Switzerland,2008,
Switzerland,2009,
Switzerland,2010,
Switzerland,2011,
Switzerland,2012,
Switzerland,2013,
Switzerland,2014,
Switzerland,2015,0.53
Switzerland,2016,0.43
Switzerland,2017,0.25
Switzerland,2018,0.32
Switzerland,2019,0.34
Switzerland,2020,0.48
Switzerland,2021,0.46
Switzerland,2022,0.41
Switzerland,2023,0.45
Cyprus,2008,
Cyprus,2009,
Cyprus,2010,
Cyprus,2011,
Cyprus,2012,
Cyprus,2013,
Cyprus,2014,
Cyprus,2015,
Cyprus,2016,
Cyprus,2017,0.0
Cyprus,2018,0.46
Cyprus,2019,0.11
Cyprus,2020,
Cyprus,2021,
Cyprus,2022,
Cyprus,2023,
Czechia,2008,
Czechia,2009,
Czechia,2010,
Czechia,2011,
Czechia,2012,
Czechia,2013,
Czechia,2014,
Czechia,2015,0.37
Czechia,2016,0.51
Czechia,2017,0.28
Czechia,2018,
Czechia,2019,0.35
Czechia,2020,0.39
Czechia,2021,0.22
Czechia,2022,0.51
Czechia,2023,0.36
Germany,2008,
Germany,2009,
Germany,2010,
Germany,2011,
Germany,2012,
Germany,2013,
Germany,2014,
Germany,2015,0.51
Germany,2016,0.57
Germany,2017,0.41
Germany,2018,0.37
Germany,2019,0.34
Germany,2020,0.53
Germany,2021,0.49
Germany,2022,0.47
Germany,2023,0.6
Greece,2008,
Greece,2009,
Greece,2010,
Greece,2011,
Greece,2012,
Greece,2013,
Greece,2014,
Greece,2015,0.2
Greece,2016,0.23
Greece,2017,0.1
Greece,2018,0.22
Greece,2019,0.17
Greece,2020,0.16
Greece,2021,0.42
Greece,2022,0.45
Greece,2023,0.23
Spain,2008,
Spain,2009,
Spain,2010,
Spain,2011,
Spain,2012,
Spain,2013,
Spain,2014,
Spain,2015,0.32
Spain,2016,0.28
Spain,2017,0.2
Spain,2018,0.2
Spain,2019,0.21
Spain,2020,0.32
Spain,2021,0.25
Spain,2022,0.33
Spain,2023,0.28
Finland,2008,
Finland,2009,
Finland,2010,
Finland,2011,
Finland,2012,
Finland,2013,
Finland,2014,
Finland,2015,0.36
Finland,2016,0.57
Finland,2017,0.47
Finland,2018,0.69
Finland,2019,0.54
Finland,2020,0.64
Finland,2021,0.64
Finland,2022,0.61
Finland,2023,
France,2008,
France,2009,
France,2010,
France,2011,
France,2012,
France,2013,
France,2014,
France,2015,0.39
France,2016,0.38
France,2017,0.45
France,2018,0.34
France,2019,0.41
France,2020,0.38
France,2021,0.39
France,2022,0.4
France,2023,0.39
Croatia,2008,
Croatia,2009,
Croatia,2010,
Croatia,2011,
Croatia,2012,
Croatia,2013,
Croatia,2014,
Croatia,2015,0.59
Croatia,2016,0.83
Croatia,2017,0.58
Croatia,2018,0.32
Croatia,2019,0.34
Croatia,2020,0.67
Croatia,2021,0.53
Croatia,2022,0.65
Croatia,2023,0.3
Hungary,2008,
Hungary,2009,
Hungary,2010,
Hungary,2011,
Hungary,2012,
Hungary,2013,
